Balance of Payments and Direct Investment Position Data (Jun 21 2016  3:18:04:960PM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Direct Investment Abroad,U.S. Direct Investment Position Abroad on a Historical-Cost Basis ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Country Only (All Countries)  (Millions of Dollars) <br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total
  Other,524,513,388,377,304,452,338,(D),974,1282,1729,3411,5219,6412,8148,8464,9713,7042,7885,9252,9929,10888,11924,12297,16473,33882,40413,43158,44597,56670,61802,68828,68344
    Albania,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,3,1,-3,-8,-12,-11,(D),(D),6,5,2,2,2,2,2,-2,-2,-2,-2,-2,-2
    Andorra,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Armenia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,(*),(*),(*),(*),(*),3,3,3,3,3,1,1,1,1,1,1
    Azerbaijan,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,---,---,---,(D),(D),(D),206,271,702,873,823,896,1019,1703,2006,2788,3002,4166,5480,(D),(D),(D),(D),(D),(D),(D)
    Belarus,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,(D),4,7,6,(*),(*),(D),13,14,16,17,10,10,10,10,10,10
    Bosnia and Herzegovina,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,---,---,---,0,0,1,-4,-5,-7,(D),-38,-3,7,7,7,(D),5,2,(*),-2,6,6,6,6,6,5
    Bulgaria,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,10,20,18,22,21,106,115,107,142,186,386,342,232,662,527,338,360,(D),439,465,518
    Croatia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,---,---,---,(*),0,0,0,0,0,0,33,34,50,78,38,62,61,61,83,88,76,-28,-37,150,143,(D)
    Cyprus,19,22,20,21,15,16,16,26,40,39,24,32,32,28,36,43,44,85,92,292,238,257,12,248,597,(D),1250,1555,1653,1934,1837,1964,2150
    Czech Republic,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,---,---,---,---,157,487,526,511,409,500,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Czechoslovakia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,(*),(D),141,---,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Estonia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,---,---,0,0,0,(D),(D),(D),(D),(D),43,24,37,33,15,27,28,30,32,12,(D),(D),60,111,146,145
    Georgia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,(D),(D),(D),350,62,65,82,(D),2,3,1,1,1,1,1,1
    Gibraltar,0,(*),(*),(*),(*),(*),1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),23,(D),(D),565,625,1768,1584,2643,15081,19347,25573,24630,34878,41232,43683,41121
    Greenland,0,0,0,-2,(D),(D),(D),4,2,2,3,3,n.s.,n.s.,n.s.,n.s.,n.s.,(*),(*),(*),(*),(*),n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Hungary,0,0,0,0,(D),(D),(D),(D),119,189,254,1053,1066,1487,1843,1168,1485,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Iceland,6,7,8,9,10,10,11,19,26,31,30,34,(*),(*),(*),1,1,(D),26,12,4,5,10,10,(D),(D),(D),(D),(D),(D),(D),(D),(D)
    Kazakhstan,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,---,---,---,(D),(D),(D),(D),1384,1454,2522,4128,4580,5246,4502,4935,4754,4565,5187,(D),6548,7501,9314,11754,12512,(D),15582
