Balance of Payments and Direct Investment Position Data (Jun 21 2016  3:18:04:960PM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Direct Investment Abroad,U.S. Direct Investment Position Abroad on a Historical-Cost Basis ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Country Only (All Countries)  (Millions of Dollars) <br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total
      Cuba,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),-25,-26,(D),-2,-2,-2,-2,(*),(*),(*),(*),(*),(*)
      Cura̤ao,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,--,--,(D),5101,5672,5868
      Dominica,0,0,(*),(*),1,1,1,(*),(*),(*),(*),(*),3,33,36,38,39,46,45,43,45,(D),(D),22,6,-14,-2,-1,-1,-11,(D),(D),(D)
"      French Islands, Caribbean",14,14,12,10,13,26,20,68,80,94,106,114,97,129,126,132,127,96,106,106,81,72,58,49,(D),245,275,572,528,146,158,(D),169
      Grenada,(*),(*),(*),(*),(*),1,1,(*),1,1,2,2,(*),1,1,1,1,4,6,7,7,7,(D),9,4,(*),(*),7,7,7,7,7,7
      Haiti,19,16,20,24,27,33,26,26,32,18,31,30,18,14,14,24,(D),70,64,55,63,74,77,100,137,115,113,(D),(D),(D),(D),(D),(D)
      Jamaica,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,2296,2483,2957,3097,3406,3551,1018,940,801,940,616,493,488,508,472,199
      Netherlands Antilles,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,3451,3579,5695,4753,2926,4712,5607,3924,6483,13314,14482,16335,--,--,--,--
"      Netherlands Islands, Caribbean",n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,--,--,(D),(D),(D),(D)
      Sint Maarten,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,--,--,-24,-71,-121,-178
      St. Kitts and Nevis,0,(*),0,0,0,2,2,2,1,1,1,1,3,3,3,3,3,-1,-1,-1,-1,-1,-1,36,(D),(*),(*),(D),5,5,5,5,5
      St. Lucia,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),39,(D),24,19,17,(D),36,32,36,33,26,73,(D),168,153,112,(D)
      St. Vincent and the Grenadines,0,0,1,1,(*),2,2,(*),1,1,2,2,(*),(*),(*),(*),(*),11,(D),6,6,6,(D),7,3,1,1,1,1,1,1,1,1
      Trinidad and Tobago,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,1508,1550,2025,2326,2392,2577,2219,(D),3916,5109,5210,5905,6337,7416,6569,6921
"      United Kingdom Islands, Atlantic (OWH)",n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,(*),(*),(*),(*),(*),2,2,5,14,29,46,5,593,(D),15600,16043
Africa,6487,6230,6076,6130,5748,6032,5474,3936,3650,4427,4469,5469,5760,6017,8162,11330,14061,13118,11891,15574,16040,19835,20356,22756,28158,32607,36746,43941,54816,56996,55849,59569,64233
  Egypt,1229,1416,1521,1905,1792,1644,1596,1541,1231,1246,1334,1510,1090,1093,1366,1603,1963,2210,1998,2557,2682,3524,4526,5475,5564,7023,7804,10257,12599,15428,17341,18795,21320
  Nigeria,334,231,345,63,793,913,680,-42,-401,529,301,478,605,629,1020,1396,1686,233,470,260,901,1100,1936,1105,1677,1584,3254,4938,5058,5307,5369,5029,5173
  South Africa,2281,2007,1446,1390,1499,1465,1189,699,775,868,879,900,1132,1422,1495,2499,2344,3474,3562,3070,3334,3580,3913,3969,3980,5240,4999,5447,6017,5870,5471,6377,6181
  Other,2642,2576,2764,2772,1663,2011,2008,1739,2045,1784,1955,2581,2933,2873,4281,5833,8068,7202,5861,9687,9122,11631,9981,12206,16937,18759,20689,23300,31143,30390,27669,29368,31559
    Algeria,26,39,43,107,56,53,29,6,1,6,52,(D),153,224,1068,1890,3330,1929,2333,3629,3384,4080,3602,4975,5461,5092,4919,4854,5360,5084,5289,4675,5202
    Angola,311,37,110,101,232,434,419,(D),(D),(D),(D),(D),(D),659,594,798,1116,1535,585,1220,1110,1067,1206,1197,1540,1633,2645,2540,4460,5430,846,1221,1907
    Benin,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,55,13,17,7,7,18,18,18,18,18,18
    Botswana,(D),(D),(D),(D),(D),(D),(D),(D),(D),-126,-101,1,36,24,23,22,13,0,0,0,0,0,11,(D),(D),19,22,22,22,22,63,46,44
    Burkina Faso,2,3,4,(D),(D),(D),(D),2,2,2,2,2,1,1,1,2,2,22,13,17,21,3,0,0,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Burundi,(*),(*),1,(*),0,0,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,1,1,1,1,1,(*),(*),(*),(*),(*),(*)
    Cabo Verde,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,(D),(D)
    Cameroon,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),263,253,143,156,181,218,178,2,2,1,(*),(*),264,122,114,73,68,185,194,192,60,82,73
    Central African Republic,1,1,(*),2,(*),(*),0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,313,257,148,135,242,(D),(D),(D),n.s.,n.s.,(*),(*),(D),(D),(D),(D)
    Chad,(D),16,(D),(D),31,31,30,40,(D),28,59,67,(D),106,112,128,(D),(*),(*),(*),(*),(*),1,1,1,(D),(D),(D),(D),(D),(D),(D),(D)
    Comoros,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,(D),(D),(D),(D),(D),n.s.,n.s.,n.s.,1,1,(*),(*),(*),(*),(*),(*)
    Congo (Brazzaville),45,8,-8,(D),(D),(D),(D),(D),21,-13,(D),(D),(D),(D),72,79,108,222,133,126,116,45,169,135,330,316,(D),277,214,-198,(D),-191,-6
    Congo (Kinshasa),n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,69,65,66,28,77,101,102,96,70,55,65,51,21,(D),(D),(D),(D),(D),(D),(D),(D)
    Cote D'Ivoire,357,222,157,126,45,64,131,47,59,20,(D),19,34,48,93,167,254,206,194,136,184,215,207,260,258,102,-23,16,-1,-13,-40,118,134
    Djibouti,(D),(D),(D),(D),5,1,1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),9,8,7,7,6,(D),(D),2,1,0,(*),(*),(*),(*),(*),(*)
    Equatorial Guinea,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,-4,-2,(D),(*),(D),(D),(D),1249,1144,2316,3080,3188,1448,1774,2864,2984,3186,2065,1978,1984,3107,3978,4246
    Eritrea,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,2,-1,12,-3,-17,-32,-53,4,(*),(*),0,0,7,7,7,7,7,7
    Ethiopia,2,2,2,2,2,2,2,2,2,3,4,4,3,15,30,35,38,(D),38,40,50,50,7,6,2,2,2,3,6,9,11,10,-40
    Gabon,156,105,183,218,199,254,185,93,355,334,244,232,147,116,86,68,186,469,546,555,344,370,483,121,113,249,-87,-78,586,63,155,143,-11
    Gambia,4,2,1,1,0,0,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,(*),(*),(*),(*),(*),n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Ghana,(D),157,137,125,111,86,111,122,116,141,122,117,149,190,248,279,330,225,205,297,266,250,223,220,974,(D),(D),1518,2874,3169,3567,3140,(D)
    Guinea,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),23,2,(D),(D),(D),(D),130,(D),(D),(D),(D),(D),(D),(D),(D),(D),41,73,118,127
    Kenya,134,142,116,93,100,83,90,133,100,99,88,104,126,142,143,188,198,89,66,(D),73,90,178,246,166,189,196,309,308,390,285,406,383
    Lesotho,-1,-2,-3,-5,-7,-8,-9,(*),1,1,2,2,1,1,1,1,1,3,3,3,3,3,n.s.,n.s.,n.s.,3,3,5,5,5,5,5,5
    Liberia,115,142,148,153,174,93,123,262,235,193,208,181,215,242,224,214,227,-225,-819,-547,-1344,273,403,390,556,703,797,694,851,1039,1019,996,873
    Libya,172,234,339,313,234,297,249,221,235,232,268,266,209,161,187,120,60,48,49,52,53,56,58,247,1664,1676,(D),(D),2719,(D),(D),2522,2567
    Madagascar,2,2,(D),(D),(D),(D),(D),5,(*),4,(D),(D),n.s.,n.s.,n.s.,n.s.,n.s.,(*),(*),(*),(*),(*),6,-5,-17,-29,-38,47,47,47,47,57,146
    Malawi,14,11,4,5,5,3,2,-2,3,1,3,16,17,32,(D),(D),40,2,-4,-8,-10,8,10,5,5,3,1,(*),-3,-17,-5,-5,-5
    Mali,2,1,2,5,(D),(D),(D),2,3,3,3,3,3,3,202,225,5,5,5,2,-5,(D),-4,0,0,n.s.,n.s.,1,1,1,1,1,1
    Mauritania,2,3,3,1,1,1,1,2,-3,(D),(D),(D),n.s.,n.s.,n.s.,n.s.,n.s.,1,1,1,1,1,1,-3,-3,-3,-3,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Mauritius,8,8,8,3,4,3,4,3,3,3,3,3,(D),11,10,11,148,119,97,124,(*),10,373,624,1272,2973,2470,5238,7885,6771,6369,6346,5815
    Morocco,23,38,39,39,27,22,15,35,50,57,77,81,93,106,102,83,77,184,220,275,280,292,167,150,130,248,263,396,550,548,606,414,379
    Mozambique,(*),(D),(D),1,(*),0,0,n.s.,n.s.,n.s.,n.s.,n.s.,1,2,3,4,5,1,3,8,12,13,(D),(*),6,5,5,28,121,(D),619,660,(D)
    Namibia,(D),(D),5,(D),5,1,0,0,0,0,0,0,1,1,1,2,2,(*),(*),(*),(*),(*),3,3,3,3,3,8,8,8,8,8,10
    Niger,(D),58,60,62,(D),(D),(D),2,2,3,3,3,(D),6,1,-3,-8,-10,-12,-14,-15,-16,2,(*),(*),(*),(*),n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Rwanda,2,1,3,4,2,3,(*),1,1,2,2,2,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,1,1,1,1,1,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Sao Tome and Principe,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,(D),(D),(D),(D),85,(D),(D),(D),(D),(D),(D)
    Senegal,13,22,24,26,28,(D),(D),16,19,19,13,13,26,36,50,58,67,67,30,33,39,38,30,17,19,18,18,23,-31,-43,-59,-71,-74
    Seychelles,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,(*),(*),(*),4,(D),(D),(D),(*),(*),(D),(*),(*),(*),(*),(*),30
    Sierra Leone,13,(D),-5,2,12,(D),(D),(D),(D),(D),(D),(D),4,(D),(D),32,2,6,10,11,12,15,7,1,1,1,1,(D),(D),(D),(D),(D),38
    Somalia,12,8,-3,-11,-1,-5,-1,4,-4,(D),(D),(D),-1,-1,-1,-1,(*),29,29,29,29,29,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*)
    Sudan,220,243,340,366,-176,-60,-101,19,10,4,-4,-16,(D),13,21,(D),15,13,13,14,14,3,n.s.,n.s.,n.s.,n.s.,n.s.,(*),(*),(*),(*),(*),(*)
    Swaziland,(*),(*),(*),(*),-1,(D),(D),3,4,5,(D),90,(D),(*),(D),34,6,46,59,45,(D),65,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
    Tanzania,30,40,38,29,21,15,14,9,(D),(D),(D),(D),15,-4,32,-33,61,17,39,21,22,18,22,21,(D),(D),(D),(D),(D),(D),286,206,570
    Togo,4,(D),6,9,(D),(D),(D),4,4,6,4,4,9,8,8,9,10,6,7,7,8,3,3,5,-11,-11,-10,0,0,0,0,0,0
    Tunisia,123,146,117,95,53,102,63,38,42,46,30,33,103,70,89,149,150,92,47,32,99,115,120,154,67,175,257,298,351,221,248,348,360
    Uganda,14,17,(D),(D),(D),(D),(D),5,6,6,7,8,(D),(D),(D),(D),(D),23,3,2,4,4,7,9,10,(D),(D),81,91,104,100,108,71
"    United Kingdom Islands, Atlantic (Africa)",n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,15,15,15,15,15,15
    Zaire,135,141,138,153,143,99,100,60,33,39,35,54,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Zambia,65,67,61,41,28,30,31,27,31,28,35,45,26,29,33,35,36,42,41,48,44,45,36,35,74,76,79,118,131,130,144,119,127
    Zimbabwe,74,62,54,50,47,43,41,77,92,91,109,127,117,100,169,130,99,77,93,117,146,140,109,(D),73,(D),(D),(D),(D),(D),(D),(D),122
Middle East,3550,4470,4979,4554,4876,4225,3923,3518,3959,4963,5759,6571,6367,7198,8294,8836,10739,10950,10863,13212,15158,16885,18963,21115,24206,28448,31294,33776,34431,35951,40306,46626,52168
  Israel,579,636,761,744,469,688,752,827,746,826,1335,1604,1483,1831,2045,2071,2837,4777,3735,5690,5726,7020,6171,7978,9168,9487,9444,9018,9464,9008,8977,9758,10801
  Saudi Arabia,1495,2131,2274,2325,2332,2082,1700,1655,1899,2303,2351,2587,2100,2741,3476,3821,4672,3336,3661,3570,4930,3140,3657,3830,4410,5012,5126,7530,7436,8132,9500,10084,10064
  United Arab Emirates,511,716,1006,813,884,766,774,391,409,416,429,524,357,500,598,567,674,540,683,834,1087,1934,2962,2285,2670,2967,3337,4118,4935,6603,8481,11717,15035
  Other,965,987,938,672,1190,689,697,644,905,1419,1644,1856,2427,2126,2174,2377,2556,2298,2784,3118,3415,4790,6172,7022,7958,10982,13387,13110,12595,12208,13348,15067,16268
    Bahrain,756,769,763,398,288,-377,-348,-65,-139,-3,-6,20,(D),(D),-138,-186,-200,-37,39,46,70,144,207,210,155,80,6,-329,-199,219,715,857,765
    Iran,9,21,-37,25,21,11,(D),(D),(*),(D),(D),(D),309,310,(*),(*),(*),-1,-1,(*),(*),(*),(D),(D),(D),2,1,-1,-1,-1,-1,-1,-1
    Iraq,3,2,1,2,1,1,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,53,(D),(D),(D),(D),(D),43,-46,468,(D),(D),2825
    Iraq-Saudi Arabia Neutral Zone,(D),0,0,0,0,0,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Jordan,(D),(D),(D),(D),(D),(D),(D),(D),8,(D),(D),8,13,15,(D),(D),(D),21,(D),(D),(D),(D),55,-2,39,105,137,140,135,182,189,217,249
    Kuwait,40,47,62,62,(D),35,-1,(D),(D),(D),(D),(D),168,71,28,-60,111,157,313,380,(D),(D),(D),(D),637,(D),1458,285,134,(D),262,(D),315
    Lebanon,54,52,39,40,39,22,21,(D),(*),(*),1,2,-5,(*),7,24,45,53,83,100,102,109,156,169,151,179,214,150,203,206,173,189,227
    Oman,31,48,55,67,35,33,51,75,81,(D),(D),121,144,102,78,75,80,182,176,236,193,358,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3025
    Qatar,5,3,2,1,-1,-4,-5,7,2,13,11,19,304,499,747,1088,1399,1450,1601,1767,2278,3195,4027,4997,5395,7841,(D),(D),9907,8314,7686,8411,8639
    Syria,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),408,(D),(D),(D),(D),(D),6,(D),(D),(D),(D),(D),-45,8,10,9,7,8,7,7,6,5
    Yemen (Aden),2,1,1,1,1,1,1,2,---,---,---,---,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Yemen (Sanaa),6,9,(D),(D),(D),(D),(D),n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Yemen,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,(D),(D),514,695,910,1096,922,984,940,752,465,533,548,552,618,640,497,779,814,700,(D),(D),(D),302,(D),220
Asia and Pacific,28282,30916,33405,35294,38472,46925,52206,55805,64718,72219,79962,92671,108528,122711,139548,144815,159678,190621,207125,227418,270086,270830,374754,375689,403637,444101,484796,502826,570111,591657,672777,696447,738786
  Australia,9089,9151,9121,9067,9670,11728,13155,14368,15110,16072,16928,19047,20196,24328,30006,28404,31483,35386,34838,27778,39074,48447,(D),75669,67632,84331,92668,106212,125421,133000,165106,169917,180315
  China,49,103,215,322,183,240,346,436,354,426,563,916,2557,2765,3848,5150,6350,9401,11140,12081,10570,11261,17616,19016,26459,29710,53927,54069,58996,53661,54514,59886,65767
  Hong Kong,2854,3157,3418,3510,4227,4795,5486,5412,6055,6656,8693,10063,11092,11768,14391,17315,17548,22759,27447,32494,40329,36426,32735,36415,39636,40720,40042,50720,41264,46713,56086,60001,66240
  India,360,358,331,381,406,407,378,(D),372,415,484,599,1030,1105,1344,1563,1592,2390,2379,2496,4232,4868,7658,7162,9746,14622,18354,21752,24666,19000,25413,25036,27963
  Indonesia,2295,2846,4185,4592,3369,3252,3131,2771,3207,3826,4384,4864,6355,6777,8322,6729,8104,8402,8904,10511,(D),(D),(D),8603,9484,14978,16273,9743,10558,12046,11441,11250,13536
  Japan,6407,7768,8100,9467,11839,16141,18546,19911,22599,25403,26591,31095,34117,37309,34578,33854,41423,55120,57091,55651,66468,57794,71005,81175,84428,85224,99803,91196,113523,120482,125283,120508,108068
"  Korea, Republic of",690,622,776,828,897,1318,1647,2370,2695,2900,2912,3427,4334,5557,6508,6467,7365,7474,8968,9977,11856,13063,17747,19760,27299,23558,22426,23930,26233,28172,32202,33036,34896
  Malaysia,1221,1162,1111,1152,1019,962,1158,1263,1466,1774,1596,1975,3148,4237,5663,6530,5629,6222,7910,7489,7101,7057,8909,11097,11185,12140,12243,9740,11791,11627,10898,12959,14357
  New Zealand,644,575,510,582,607,744,842,1062,3156,2949,3314,3064,3893,4601,5940,7160,6021,4852,4271,4273,3926,3859,4620,5191,5933,5527,4451,6141,6724,7930,8476,7646,7760
  Philippines,1315,1372,1292,1029,1274,1331,1371,1107,1355,1395,1666,1953,2484,2719,3541,3219,3931,3517,3638,5436,5964,6390,6176,6522,6948,6953,5505,4602,5399,4897,3988,4180,5071
  Singapore,1720,1881,2018,2008,2481,2722,2662,2998,3975,5363,6715,8875,10940,12140,14912,18026,17550,20665,24133,40764,50955,51053,61076,76390,81879,93529,83169,87909,102778,119395,145236,159759,179764
  Taiwan,544,644,795,845,1003,1531,1831,1968,2226,2666,2827,3113,3775,4293,4476,5007,6295,6744,7836,9301,10144,11983,(D),14356,16999,15807,18053,19894,22188,16073,17546,16809,17073
  Thailand,780,918,1160,1146,1152,1349,1211,1511,1790,2025,2594,2943,3585,4283,5000,4332,5209,5500,5824,6176,7774,6886,7499,10252,10642,10284,9162,9457,12999,11840,10773,9825,11729
  Other,313,358,375,365,345,408,441,(D),356,348,696,737,1022,830,1019,1058,1177,2190,2746,2990,(D),(D),(D),4082,5367,6717,8719,7463,7570,6820,5816,5635,6246
    Afghanistan,0,(*),(*),0,0,0,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,6,6,6,6,6,3,3,3,3,3,3
    Bangladesh,13,11,10,8,7,7,7,6,7,(D),(D),(D),42,46,59,86,171,174,208,193,220,189,354,181,365,218,260,331,296,326,368,413,465
    Bhutan,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,4,4,4,4,4,3,3,3,3,3,(*),(*),(*),(*),(*),(*)
    Brunei,(D),(D),19,19,-8,4,6,17,26,33,42,47,12,30,-18,10,62,21,-2,-17,-33,-27,-6,-25,27,28,27,60,103,99,116,31,-6
    Burma,0,0,0,0,0,(*),(*),(D),(D),55,45,(D),(D),61,90,(D),(D),(D),(D),(D),(D),(D),(*),1,(*),(*),(*),(*),(*),1,1,1,1
    Cambodia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,-1,-2,1,1,1,1,-2,-2,-2,-2,-2,25,30,37,54,63,77
    East Timor,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,---,---,---,0,(D),(D),(D),2,2,2,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Federated States of Micronesia,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Fiji,(D),(D),(D),(D),(D),(D),(D),1,1,1,1,1,-3,-1,17,20,14,32,13,23,(D),32,38,42,43,48,44,27,20,-12,(D),-30,-40
"    French Islands, Indian Ocean",6,2,2,2,3,4,4,3,6,6,10,7,10,(D),13,15,16,18,7,5,6,7,5,9,(D),1,1,(*),0,0,0,0,0
"    French Islands, Pacific",3,3,3,4,5,7,7,9,21,27,37,42,(D),(D),(D),(D),(D),109,(D),(D),(D),8,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
    Laos,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,1,(*),-2,-4,-6,(*),(*),(*),(*),(*),-3,-3,-3,-3,-3,0,0,0,0,0,0
    Macau,0,1,2,3,4,6,8,13,13,(D),(D),4,2,3,4,6,7,3,3,3,(D),(D),40,(D),259,1511,2707,1013,938,808,1279,929,(D)
    Maldives,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,1,1,1,1,1,1,1,1,1,1,1
    Marshall Islands,0,0,0,0,0,1,2,2,2,3,4,4,4,-1,-5,-9,(D),515,1391,1632,1652,1610,(D),(D),2917,(D),(D),(D),(D),(D),2138,2028,(D)
    Micronesia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,(D),(D),(D),(D),(D),28,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),27,29,30,32,33
    Mongolia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,(*),(*),(*),(*),-3,2,-3,6,(D),28,31
    Nauru,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,1,1,1,1,1,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Nepal,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,4,4,4,4,2,1,1,1,1,2,4,5,4,5,(D),(D)
    Pakistan,129,119,123,108,108,155,177,177,184,187,245,255,389,425,497,548,516,595,475,522,563,755,858,1130,1167,(D),430,624,(D),245,231,233,272
    Palau,0,0,0,0,0,1,1,2,3,4,5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),-36,-36,-36,-36,-36,-36
    Papua New Guinea,57,108,159,155,156,164,185,54,43,-33,193,215,335,135,146,56,49,323,73,29,30,20,12,-16,8,61,(D),(D),235,(D),198,317,339
    Samoa,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,1,1,1,1,1,1,(*),(*),(*),(*),1,1,1,1,1,1,1,1,1,1,1
    Solomon Islands,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,2,3,3,2,2,3,3,0,0,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
